"","X","designation","l","b","ra","dec","mag_j","dj_m","mag_h","dh_m","mag_ks","dks_m","mag3_6","d3_6m","mag4_5","d4_5m","ra_epoch2000","dec_epoch2000","errHalfMaj","errHalfMin","errPosAng","source_id","ra_x","ra_error","dec_x","dec_error","parallax","parallax_error","pmra","pmra_error","pmdec","pmdec_error","duplicated_source","phot_g_mean_flux","phot_g_mean_flux_error","phot_g_mean_mag","phot_bp_mean_flux","phot_bp_mean_flux_error","phot_bp_mean_mag","phot_rp_mean_flux","phot_rp_mean_flux_error","phot_rp_mean_mag","bp_rp","radial_velocity","radial_velocity_error","rv_nb_transits","teff_val","a_g_val","e_bp_min_rp_val","radius_val","lum_val","angDist"
"21",149,"SSTGLMC G190.2216+00.6600",190.221599,0.660081,92.670867,20.415767,14.662,0.03,13.432,0.025,12.398,0.021,10.937,0.039,10.43,0.031,92.6708713443106,20.4157982426744,0.008,0.007,90,3375011723836908544,92.67087497088,0.287,20.41578387937,0.2548,0.0092,0.3142,0.789,0.511,-3.336,0.442,"false",709.907,2.45925,18.560362,172.855,12.8595,19.757183,1028.32,10.7705,17.231604,2.52558,NA,NA,0,NA,NA,NA,NA,NA,0.113425
"22",152,"SSTGLMC G190.1456+00.6772",190.145641,0.677239,92.647808,20.490576,15.057,0.035,14.134,0.032,13.75,0.033,12.555,0.044,12.201,0.032,92.6478230801482,20.490587568891,0.01,0.008,90,3375015159810805760,92.64782026834,0.3476,20.49057455558,0.3227,3.0206,0.3613,-0.612,0.63,-3.022,0.529,"false",1096.13,4.87033,18.088709,334.752,6.90125,19.03958,1470.67,18.4661,16.84313,2.196449,NA,NA,0,NA,NA,NA,NA,NA,0.065732
"23",154,"SSTGLMC G190.1693+00.6519",190.169373,0.651961,92.636393,20.457595,15.953,0.077,15.113,0.078,14.899,0.088,13.83,0.041,13.586,0.046,92.636409469188,20.4576132010478,0.013,0.011,90,3375014816214688768,92.63641031666,0.414,20.45760115844,0.3712,0.8218,0.4901,0.184,0.831,-2.797,0.707,"false",449.245,2.13477,19.057158,156.029,12.765,19.868374,631.338,12.281,17.761265,2.107109,NA,NA,0,NA,NA,NA,NA,NA,0.085902
"24",162,"SSTGLMC G190.1468+00.7453",190.146825,0.745311,92.712086,20.522365,15.04,0.041,13.976,0.039,13.41,0.034,12.298,0.034,11.645,0.032,92.7121115895886,20.5223551345489,0.01,0.008,90,3375021378923468288,92.71210624496,0.303,20.5223419318,0.2755,0.1968,0.2987,-1.163,0.618,-3.066,0.519,"false",706.172,3.95309,18.56609,202.039,20.0456,19.587801,1090.43,32.1444,17.167929,2.419872,NA,NA,0,NA,NA,NA,NA,NA,0.0933
"25",167,"SSTGLMC G190.2879+00.7347",190.287976,0.734789,92.77484,20.393625,14.849,0.031,13.875,0.03,13.24,0.027,12.248,0.033,11.915,0.032,92.7748495293965,20.3936370786918,0.005,0.004,90,3375010864843432448,92.77485113071,0.151,20.39362851586,0.1409,0.5032,0.1597,0.349,0.29,-1.989,0.238,"false",1468.51,9.00456,17.77117,396.27,22.4676,18.85641,1757.92,32.5304,16.649422,2.206987,NA,NA,0,NA,NA,NA,NA,NA,0.054081
"26",170,"SSTGLMC G190.4165+00.6042",190.416522,0.604219,92.718898,20.218075,15.538,0.049,14.587,0.048,14.072,0.045,13.106,0.036,12.711,0.025,92.7188965685658,20.2181048566071,0.007,0.006,90,3374995025003905536,92.7188940989,0.2362,20.21809617818,0.2512,0.824,0.3116,-0.538,0.452,-2.016,0.385,"false",666.478,4.26966,18.6289,177.311,15.4983,19.729546,865.118,18.9836,17.419231,2.310314,NA,NA,0,NA,NA,NA,NA,NA,0.107593
"27",180,"SSTGLMC G190.3354+00.6772",190.335399,0.677256,92.745437,20.324352,14.509,0.029,13.56,0.031,13.12,0.028,12.388,0.048,11.974,0.029,92.745531974307,20.3244046156542,0.006,0.006,90,3374997017868808192,92.7455289506,0.1968,20.3243935638,0.1969,0.1346,0.2508,-0.659,0.394,-2.567,0.369,"false",1012.76,11.9718,18.174599,411.609,22.8569,18.815176,2059.11,52.8685,16.477718,2.337458,NA,NA,0,NA,NA,NA,NA,NA,0.372393
"28",188,"SSTGLMC G190.0612+01.0501",190.061196,1.050136,92.953538,20.744152,15.464,0.051,14.335,0.043,13.753,0.035,13.063,0.042,12.69,0.027,92.9535628111596,20.7441817100087,0.012,0.009,90,3375118823140197888,92.9535600729,0.3584,20.74417185958,0.3234,0.0592,0.3303,-0.595,0.752,-2.288,0.574,"false",464.683,8.97768,19.020473,115.818,13.4403,20.19195,617.283,33.4571,17.78571,2.406241,NA,NA,0,NA,NA,NA,NA,NA,0.135709
"29",193,"SSTGLMC G189.9263+01.1136",189.926393,1.113614,92.943768,20.892851,13.597,0.023,13.152,0.026,12.906,0.026,12.054,0.028,11.411,0.027,92.9438050884433,20.8928825606664,0.001,0.001,90,3375310035084191744,92.94380328936,0.0452,20.89287334015,0.0412,0.4409,0.0392,-0.39,0.088,-2.142,0.075,"false",12449.4,7.02673,15.450497,4917.42,40.3046,16.122046,11172.7,16.6337,14.641529,1.480516,NA,NA,0,4415.25,NA,NA,3.13,3.364,0.168728
"30",205,"SSTGLMC G189.9153+00.4176",189.915303,0.417628,92.286249,20.566728,13.981,0.026,13.179,0.026,12.805,0.026,12.328,0.03,12.018,0.018,92.2862498950816,20.5667681201779,0.003,0.002,90,3375184003564638208,92.28625111144,0.1038,20.56675724499,0.103,0.2449,0.1504,0.265,0.185,-2.526,0.157,"false",3860.92,95.4398,16.721638,1411.03,113.776,17.477545,4592.86,229.613,15.606711,1.870833,NA,NA,0,4033.33,NA,NA,NA,NA,0.144464
"31",209,"SSTGLMC G189.8334+00.4708",189.833435,0.470803,92.293597,20.664105,15.178,0.043,14.159,0.035,13.718,0.033,12.609,0.025,12.183,0.024,92.2936332305994,20.6641358689575,0.005,0.004,90,3375220119946337280,92.29363518934,0.1835,20.66412730635,0.1806,0.4498,0.215,0.426,0.339,-1.989,0.284,"false",1283.43,9.15633,17.917435,447.849,21.1988,18.723558,1649.38,37.5064,16.718618,2.00494,NA,NA,0,NA,NA,NA,NA,NA,0.165055
"32",213,"SSTGLMC G189.8890+00.4420",189.889019,0.442094,92.295518,20.601572,15.863,0.066,14.855,0.064,14.52,0.064,14.033,0.038,13.747,0.028,92.2955336479939,20.6016050326723,0.008,0.007,90,3375219256656235520,92.29553717556,0.3056,20.60159349607,0.2886,0.3866,0.3646,0.767,0.546,-2.679,0.479,"false",456.241,3.24633,19.04038,237.745,16.2384,19.41111,776.874,20.2933,17.536043,1.875067,NA,NA,0,NA,NA,NA,NA,NA,0.130084
