#medianL medianB  madL  madB  regDL  regDB  medianPmRa  madPmRa  medianPmDec  madPmDec  medianPlx madPlx nObj possibleName tileEdge tileRA tileDEC known unknown
128.283 0.234 0.107 0.112 0.484 0.481 -1.334 0.143 -0.177 0.183 0.348 0.033 101 unknown 0.5 128.0 0.0 False True
128.716 -1.745 0.106 0.112 0.496 0.497 -1.212 0.111 -0.443 0.078 0.354 0.03 133 unknown 0.5 128.5 -2.0 False True
128.755 -1.207 0.129 0.126 0.497 0.49 -1.266 0.188 -0.363 0.139 0.352 0.032 166 unknown 0.5 128.5 -1.5 False True
128.811 -0.78 0.071 0.145 0.486 0.497 -1.264 0.144 -0.244 0.124 0.336 0.024 100 unknown 0.5 128.5 -1.0 False True
128.812 -0.343 0.106 0.133 0.47 0.498 -1.186 0.106 -0.324 0.129 0.335 0.019 65 unknown 0.5 128.5 -0.5 False True
128.771 0.242 0.123 0.128 0.466 0.485 -1.227 0.121 -0.146 0.174 0.35 0.037 85 unknown 0.5 128.5 0.0 False True
128.561 1.74 0.031 0.024 0.487 0.473 -1.195 0.043 0.051 0.046 0.342 0.021 70 NGC_637 0.5 128.5 1.5 True False
129.304 -1.623 0.092 0.1 0.491 0.493 -0.914 0.136 -0.362 0.135 0.334 0.02 93 NGC_659 0.5 129.0 -2.0 True False
129.34 -1.175 0.103 0.096 0.48 0.491 -1.166 0.054 -0.371 0.118 0.35 0.027 171 NGC_663 0.5 129.0 -1.5 True False
129.29 -0.83 0.144 0.134 0.496 0.482 -0.914 0.248 -0.454 0.233 0.36 0.044 74 NGC_663 0.5 129.0 -1.0 True False
129.419 -0.921 0.064 0.051 0.493 0.488 -1.116 0.064 -0.211 0.055 0.333 0.016 168 NGC_663 0.5 129.0 -1.0 True False
129.099 -0.351 0.023 0.02 0.452 0.427 -1.069 0.056 -0.26 0.061 0.328 0.016 113 NGC_654 0.5 129.0 -0.5 True False
129.419 5.787 0.046 0.05 0.354 0.424 -1.054 0.085 0.794 0.071 0.329 0.016 14 FSR_0558 0.5 129.0 5.5 True False
129.783 -3.41 0.049 0.031 0.366 0.479 -0.93 0.052 -1.012 0.051 0.452 0.019 39 COIN-Gaia_4,Per_OB1 0.5 129.5 -3.5 True False
129.72 -1.169 0.134 0.11 0.484 0.492 -1.128 0.084 -0.339 0.111 0.343 0.027 137 unknown 0.5 129.5 -1.5 False True
129.578 -0.91 0.056 0.058 0.497 0.489 -1.1 0.057 -0.238 0.062 0.332 0.018 151 NGC_663 0.5 129.5 -1.0 True False
129.754 -0.257 0.116 0.124 0.463 0.476 -1.106 0.096 -0.499 0.184 0.362 0.03 59 unknown 0.5 129.5 -0.5 False True
129.737 0.289 0.087 0.11 0.488 0.487 -1.137 0.162 -0.142 0.096 0.344 0.028 70 unknown 0.5 129.5 0.0 False True
129.731 1.259 0.121 0.118 0.493 0.475 -1.044 0.191 -0.027 0.131 0.357 0.041 81 unknown 0.5 129.5 1.0 False True
130.348 -4.311 0.053 0.061 0.437 0.447 -0.858 0.067 0.227 0.063 0.616 0.023 73 ASCC_6 0.5 130.0 -4.5 True False
130.182 -1.238 0.103 0.117 0.494 0.493 -1.052 0.183 -0.371 0.102 0.36 0.031 105 unknown 0.5 130.0 -1.5 False True
130.174 -0.797 0.1 0.144 0.499 0.496 -0.995 0.175 -0.371 0.144 0.358 0.038 113 unknown 0.5 130.0 -1.0 False True
130.206 -0.25 0.124 0.119 0.495 0.482 -1.088 0.134 -0.336 0.174 0.357 0.032 105 unknown 0.5 130.0 -0.5 False True
130.146 0.293 0.063 0.109 0.498 0.487 -1.01 0.097 -0.204 0.116 0.342 0.024 96 Berkeley_7 0.5 130.0 0.0 True False
130.7 -0.739 0.129 0.115 0.496 0.497 -1.009 0.079 -0.435 0.142 0.356 0.032 67 unknown 0.5 130.5 -1.0 False True
130.777 -0.266 0.102 0.112 0.479 0.488 -1.094 0.135 -0.376 0.207 0.362 0.035 99 unknown 0.5 130.5 -0.5 False True
130.762 0.173 0.114 0.105 0.484 0.494 -1.002 0.103 -0.269 0.115 0.348 0.024 56 unknown 0.5 130.5 0.0 False True
130.56 1.95 0.024 0.029 0.243 0.211 -4.902 0.046 -0.146 0.048 0.643 0.015 26 Gulliver_51 0.5 130.5 1.5 True False
130.738 2.61 0.05 0.055 0.447 0.434 -0.757 0.122 -2.151 0.078 1.006 0.026 55 Stock_5 0.5 130.5 2.5 True False
131.215 -4.83 0.098 0.095 0.45 0.477 -1.079 0.075 0.392 0.07 0.711 0.048 59 Stock_4 0.5 131.0 -5.0 True False
131.201 -1.657 0.072 0.052 0.473 0.477 -0.03 0.057 -1.688 0.075 0.881 0.025 51 NGC_743 0.5 131.0 -2.0 True False
131.242 2.766 0.151 0.163 0.498 0.494 -0.786 0.183 0.242 0.188 0.36 0.051 54 unknown 0.5 131.0 2.5 False True
131.768 -4.259 0.078 0.052 0.458 0.439 -1.413 0.068 -1.16 0.077 0.41 0.038 36 unknown 0.5 131.5 -4.5 False True
131.727 -1.295 0.137 0.083 0.48 0.465 -0.897 0.067 -0.484 0.159 0.374 0.042 59 unknown 0.5 131.5 -1.5 False True
132.385 -6.164 0.056 0.051 0.378 0.425 -1.863 0.064 -1.721 0.079 0.719 0.033 79 NGC_744 0.5 132.0 -6.5 True False
132.238 -2.705 0.108 0.105 0.48 0.494 -1.071 0.213 -0.883 0.16 0.409 0.043 132 Per_OB1 0.5 132.0 -3.0 True False
132.22 -1.244 0.059 0.092 0.494 0.488 -0.862 0.097 -0.562 0.167 0.364 0.039 57 Riddle_4 0.5 132.0 -1.5 True False
132.746 -2.742 0.116 0.104 0.495 0.49 -1.092 0.171 -0.901 0.129 0.411 0.038 95 Per_OB1 0.5 132.5 -3.0 True False
132.86 2.696 0.085 0.075 0.494 0.392 3.173 0.068 -3.971 0.077 0.952 0.019 60 NGC_886 0.5 132.5 2.5 True False
133.218 -3.252 0.133 0.137 0.483 0.494 -1.073 0.159 -0.93 0.156 0.401 0.042 82 Per_OB1 0.5 133.0 -3.5 True False
133.218 -2.749 0.114 0.111 0.499 0.479 -0.908 0.193 -0.902 0.195 0.429 0.041 117 Per_OB1 0.5 133.0 -3.0 True False
133.31 -0.341 0.114 0.1 0.482 0.477 -0.915 0.128 -0.299 0.191 0.409 0.056 42 unknown 0.5 133.0 -0.5 False True
133.16 2.733 0.11 0.118 0.471 0.436 3.138 0.075 -4.053 0.088 0.958 0.018 25 NGC_886 0.5 133.0 2.5 True False
133.755 -4.236 0.126 0.08 0.489 0.494 -0.925 0.167 -1.141 0.105 0.42 0.04 70 Per_OB1 0.5 133.5 -4.5 True False
133.707 -3.704 0.117 0.113 0.498 0.494 -0.865 0.09 -1.02 0.102 0.376 0.029 112 UBC86,Per_OB1 0.5 133.5 -4.0 True False
133.809 -3.263 0.115 0.099 0.493 0.494 -0.837 0.155 -0.962 0.106 0.391 0.043 90 Per_OB1 0.5 133.5 -3.5 True False
133.793 -2.178 0.111 0.127 0.47 0.497 -0.903 0.138 -0.653 0.135 0.391 0.031 83 unknown 0.5 133.5 -2.5 False True
133.781 -1.704 0.123 0.13 0.474 0.497 -0.959 0.168 -0.544 0.097 0.376 0.033 101 unknown 0.5 133.5 -2.0 False True
133.703 -1.243 0.091 0.107 0.481 0.487 -0.74 0.224 -0.464 0.106 0.376 0.037 116 unknown 0.5 133.5 -1.5 False True
133.702 -1.299 0.089 0.134 0.485 0.471 15.614 0.182 -13.855 0.128 2.62 0.027 26 Stock_2 0.5 133.5 -1.5 True False
133.798 -0.818 0.131 0.107 0.489 0.457 -0.758 0.25 -0.422 0.109 0.399 0.047 83 unknown 0.5 133.5 -1.0 False True
134.25 -4.715 0.093 0.112 0.467 0.486 -0.868 0.153 -1.202 0.129 0.412 0.062 74 Per_OB1 0.5 134.0 -5.0 True False
134.314 -4.164 0.112 0.126 0.491 0.496 -0.713 0.077 -1.113 0.101 0.39 0.034 105 Per_OB1 0.5 134.0 -4.5 True False
134.388 -3.746 0.08 0.117 0.498 0.496 -0.734 0.091 -1.077 0.076 0.398 0.034 247 NGC_869,Per_OB1 0.5 134.0 -4.0 True False
134.412 -3.75 0.068 0.063 0.435 0.367 -0.702 0.113 -1.452 0.066 0.426 0.034 14 NGC_869,Per_OB1 0.5 134.0 -4.0 True False
