#medianRA medianDEC  madRA  madDEC  regDRA  regDDEC  medianPmRa  madPmRa  medianPmDec  madPmDec  medianPlx madPlx nObj possibleName tileEdge tileRA tileDEC known unknown
37.349 57.520 0.108 0.046 0.378 0.199 -0.478 0.182 -1.032 0.118 0.376 0.067 84 Per_OB1 0.2 37.2 57.4 True False
37.358 57.676 0.118 0.038 0.398 0.196 -0.418 0.130 -1.025 0.165 0.374 0.054 83 Per_OB1 0.2 37.2 57.6 True False
37.437 57.901 0.093 0.042 0.384 0.199 -0.306 0.140 -0.926 0.096 0.341 0.070 70 Per_OB1 0.2 37.2 57.8 True False
37.437 58.118 0.088 0.035 0.394 0.190 -0.445 0.182 -0.927 0.126 0.336 0.073 114 Per_OB1 0.2 37.2 58.0 True False
37.393 58.895 0.101 0.048 0.392 0.192 -0.359 0.213 -0.838 0.168 0.327 0.080 79 Per_OB1 0.2 37.2 58.8 True False
37.430 60.689 0.055 0.036 0.357 0.184 -3.471 0.103 0.547 0.095 1.446 0.033 28 Stock_7 0.2 37.2 60.6 True False
37.302 61.773 0.030 0.020 0.355 0.195 -1.030 0.083 -0.175 0.092 0.266 0.080 94 Tombaugh_4 0.2 37.2 61.6 True False
37.321 61.837 0.052 0.031 0.377 0.187 -1.032 0.094 -0.168 0.119 0.288 0.064 54 Tombaugh_4 0.2 37.2 61.8 True False
37.750 61.304 0.084 0.045 0.386 0.192 -1.063 0.119 -0.059 0.123 0.366 0.058 52 unknown 0.2 37.6 61.2 False True
38.284 57.541 0.070 0.036 0.390 0.196 -0.270 0.099 -1.044 0.081 0.392 0.036 163 NGC_957,Per_OB1 0.2 38.0 57.4 True False
38.234 58.760 0.034 0.019 0.371 0.187 0.496 0.113 -0.751 0.130 0.316 0.056 91 Czernik_8 0.2 38.0 58.6 True False
38.335 59.882 0.052 0.020 0.394 0.173 -0.931 0.090 0.185 0.087 0.320 0.060 44 Czernik_9 0.2 38.0 59.8 True False
38.133 61.114 0.076 0.041 0.381 0.179 -1.037 0.078 -0.113 0.134 0.371 0.080 39 unknown 0.2 38.0 61.0 False True
38.194 61.470 0.049 0.028 0.313 0.184 -0.718 0.068 -0.684 0.068 0.434 0.028 70 IC_1805,Per_OB1 0.2 38.0 61.4 True False
38.546 57.517 0.101 0.042 0.375 0.193 -0.241 0.087 -1.046 0.135 0.383 0.054 110 NGC_957,Per_OB1 0.2 38.4 57.4 True False
38.617 57.696 0.099 0.061 0.394 0.195 -0.244 0.140 -1.026 0.171 0.387 0.066 80 NGC_957,Per_OB1 0.2 38.4 57.6 True False
38.508 60.154 0.035 0.023 0.394 0.195 -1.083 0.106 0.321 0.171 0.226 0.088 65 Czernik_10 0.2 38.4 60.0 True False
38.626 61.731 0.057 0.052 0.394 0.182 -0.610 0.076 -0.299 0.123 0.441 0.064 57 unknown 0.2 38.4 61.6 False True
39.025 56.075 0.078 0.050 0.377 0.190 1.589 0.152 -5.245 0.048 1.446 0.075 18 Trumpler_2 0.2 38.8 56.0 True False
39.024 57.916 0.097 0.052 0.378 0.190 -0.414 0.174 -1.014 0.098 0.394 0.080 56 Per_OB1 0.2 38.8 57.8 True False
39.028 59.047 0.058 0.026 0.343 0.199 -0.567 0.079 -0.087 0.107 0.365 0.053 102 King_4 0.2 38.8 59.0 True False
39.373 61.113 0.113 0.052 0.390 0.199 -0.724 0.178 -0.106 0.142 0.424 0.078 66 unknown 0.2 39.2 61.0 False True
39.685 55.885 0.056 0.073 0.373 0.199 1.602 0.126 -5.291 0.162 1.381 0.059 15 Trumpler_2 0.2 39.6 55.8 True False
39.767 59.093 0.093 0.055 0.397 0.199 -0.623 0.245 -0.427 0.231 0.278 0.095 114 unknown 0.2 39.6 59.0 False True
39.778 60.433 0.061 0.031 0.391 0.192 -0.689 0.063 -0.344 0.074 0.419 0.056 66 Berkeley_65 0.2 39.6 60.4 True False
40.199 60.720 0.116 0.046 0.386 0.192 -0.659 0.191 -0.222 0.113 0.362 0.087 80 unknown 0.2 40.0 60.6 False True
40.216 60.893 0.097 0.059 0.394 0.198 -0.617 0.193 -0.128 0.194 0.323 0.134 125 unknown 0.2 40.0 60.8 False True
40.201 61.096 0.092 0.041 0.400 0.190 -0.613 0.184 -0.153 0.185 0.345 0.100 103 unknown 0.2 40.0 61.0 False True
